condition,variant,request_count,mean_input_tokens,mean_output_tokens,mean_ttft_ms,p95_ttft_ms,mean_latency_ms,p95_latency_ms,mean_tpot_ms,vllm_prefix_cache_hits_delta,vllm_prefix_cache_queries_delta,vllm_prefix_cache_hit_rate_delta,sglang_cache_hit_rate,sglang_cached_tokens_delta,sglang_prompt_tokens_delta,sglang_cached_token_ratio_delta
mock,context_compiler_with_observation_compression,4,459.0,64.0,20.57092990671191,24.431421476297647,112.84388362336982,117.41589783852423,1.4417649018227798,,,,,,,
mock_metrics_error_smoke,original_bad_layout,4,675.5,64.0,28.14842990671191,40.64387766525884,120.42138362336982,134.53089783852423,1.4417649018227798,,,,,,,
sglang,context_compiler_no_compression,32,8433.75,80.9375,30.544434674084187,55.484507232904434,786.9813796132803,984.0137623250484,9.328325359927247,,,,0.0,769819.0,812424.0,0.9475581715951277
sglang,context_compiler_with_observation_compression,32,1606.5,80.3125,18.669697921723127,24.871304631233215,747.4405359243974,896.726205945015,9.084754505244712,,,,0.0,138580.0,157008.0,0.8826301844492
sglang,dynamic_fields_last,32,8433.75,76.875,30.359211727045476,51.43645405769348,748.3421532670036,981.0668081045151,9.324150404074427,,,,0.0,790495.0,812424.0,0.9730079367423907
sglang,original_bad_layout,32,8497.75,88.5625,31.062606489285827,50.989679992198944,856.9665084360167,979.7808714210987,9.313110746073603,,,,0.0,646744.0,818568.0,0.7900919654811818
sglang,stable_tool_order,32,8433.75,90.625,30.00313020311296,51.595430821180344,873.7498880364001,979.7798804938793,9.300599604480425,,,,0.0,641512.0,812424.0,0.7896270912725375
sglang,truncation_baseline,32,1629.75,70.375,18.591716303490102,23.88586476445198,658.6679697502404,899.7306376695633,9.10947463498539,,,,0.0,154642.0,159240.0,0.9711253453906054
vllm,context_compiler_no_compression,32,8433.75,82.09375,31.17033140733838,52.961356937885284,848.4183608088642,1040.6488589942455,9.941281076691777,769088.0,812424.0,0.9466583951237285,,,,
vllm,context_compiler_with_observation_compression,32,1606.5,83.875,19.57096322439611,26.91907435655594,832.0675315335393,956.6241540014744,9.701135903499866,137952.0,157008.0,0.8786303882604708,,,,
vllm,dynamic_fields_last,32,8433.75,76.875,30.675950809381902,54.33341488242149,791.5613162331283,1033.6951427161694,9.88471888576345,789760.0,812424.0,0.9721032367335283,,,,
vllm,original_bad_layout,32,8497.75,89.125,30.918767442926764,57.17381834983826,913.7976374477148,1041.3273014128208,9.903233883059151,646080.0,818568.0,0.7892807927991321,,,,
vllm,stable_tool_order,32,8433.75,90.625,30.72160086594522,50.56750774383545,923.9459366071969,1035.4970395565033,9.852820149013874,640832.0,812424.0,0.7887900899037941,,,,
vllm,truncation_baseline,32,1629.75,70.5,19.141186494380236,26.124481111764908,701.551326783374,950.1383043825626,9.695970800385112,153904.0,159240.0,0.9664908314493845,,,,
vllm_cache_off,context_compiler_no_compression,32,8433.75,81.96875,342.73028397001326,935.2688379585743,1161.7563697509468,1927.935391664505,9.971380817700714,0.0,0.0,,,,,
vllm_cache_off,context_compiler_with_observation_compression,32,1606.5,83.75,60.50513137597591,110.33613607287407,868.4959914535284,1035.778734833002,9.66016573171944,0.0,0.0,,,,,
vllm_cache_off,dynamic_fields_last,32,8433.75,76.75,343.3362029027194,943.9538568258286,1102.0930357044563,1920.6651411950588,9.877719419170678,0.0,0.0,,,,,
vllm_cache_off,original_bad_layout,32,8497.75,89.625,346.7143914895132,948.0736292898655,1230.5831437697634,1932.607501745224,9.855737642656152,0.0,0.0,,,,,
vllm_cache_off,stable_tool_order,32,8433.75,90.1875,343.9736684085801,943.054061383009,1240.6927656847984,1927.1520636975765,9.945101274478889,0.0,0.0,,,,,
vllm_cache_off,truncation_baseline,32,1629.75,70.375,61.08793499879539,135.0417286157608,743.3814584510401,1064.1846768558025,9.714566656999063,0.0,0.0,,,,,
